,Returns,Alpha,Beta,Omega Ratio
BTC-USD,0.0035166089983271714,0,1,1
ETH-USD,0.0014188602596046076,-0.0019270344002739893,0.9514548422842055,0.6612416059328954
USDT-USD,2.861731335626431e-05,1.695889931455358e-05,0.0033152431923072945,0.6976109504416731
BNB-USD,0.0016901915544761466,-0.0023269643081792707,1.142337935370794,0.7352216390345935
USDC-USD,1.7573095867473576e-06,-2.7743838987154916e-07,0.000578610808761174,0.6966296681946841
XRP-USD,0.00930169579630525,0.006513312450050902,0.7929182196771843,1.5217215037769294
ADA-USD,0.0041287523016172,0.0001927766120855684,1.1192531473939669,1.0547524651888769
DOGE-USD,0.004745312627206429,-0.0009230020204548037,1.6118694601411798,1.130106665109618
SOL-USD,0.01100821990892881,0.005294815584416484,1.6246913794596318,1.7861636346794343
TRX-USD,0.004139963675419829,0.0034824411656869786,0.18697629166211827,1.0658662622630033
